KMK1;KMK3;KMK5;KMK6;KMK7;PK1;PK3;GK2;GK4;GK6;GK7;GK8;GK9;GK10;KK1;KK2;KK3;KK4;KK5;KK6;KK7;KK8;KK9;KK10;KK11;KK12;KK13;KK14;KK15;KK16
4;4;4;4;4;5;5;4;4;4;4;4;4;4;4;5;5;5;5;5;4;5;4;5;5;5;5;5;4;5
5;5;4;5;5;4;4;4;4;4;3;4;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
5;5;5;3;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;3;4;4;4;4;4;5;4;4;3;5;4;3;4;5;5;4;5;5;4;3;4;5;4;5
4;4;4;5;3;5;4;4;5;4;5;5;4;5;4;5;5;3;5;5;4;3;4;4;3;5;5;4;4;5
4;5;3;3;5;5;5;4;4;4;4;4;4;4;4;5;4;5;5;5;5;4;5;5;4;3;5;4;5;5
5;5;5;5;4;4;4;4;4;4;4;4;4;4;3;3;4;5;4;3;4;5;5;3;5;5;5;4;5;4
5;5;5;5;5;4;3;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;3;5;5;4;4;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;4;5;5;5;3;3;5;5;4;5;5;5;5;4;5;4;5;5;5;4;5;5;5;5;5;5;5;5;5
5;5;5;4;5;4;5;5;3;5;4;4;4;3;3;4;4;4;5;5;3;5;4;3;5;5;5;3;3;3
5;5;4;5;5;5;5;3;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5
5;5;5;5;4;5;4;5;5;5;5;5;5;5;3;5;4;4;4;3;5;5;5;5;5;5;4;5;3;4
4;3;5;5;3;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;4;5;3;5;5;5;5;4;4;5
5;5;3;4;5;4;5;5;5;5;5;5;5;5;5;5;4;5;4;5;5;3;5;4;5;3;5;5;4;4
5;5;5;5;5;3;3;5;3;5;4;4;4;5;4;5;4;3;5;5;3;4;5;5;4;5;4;5;3;5
4;4;4;4;4;4;5;4;5;4;5;5;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
5;5;4;5;4;4;4;5;5;5;5;5;5;5;4;4;4;5;5;5;4;5;5;3;5;5;5;5;5;3
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;3;5;3;5;5;5
5;5;3;5;5;5;5;5;5;5;5;5;5;5;4;3;4;5;5;4;5;4;3;5;5;5;5;3;4;3
5;5;5;5;5;4;3;5;4;5;5;5;5;5;4;5;5;4;4;5;3;5;5;4;4;5;5;5;3;5
3;3;3;3;5;5;3;4;5;4;5;3;4;3;5;5;5;3;5;5;5;4;5;5;5;4;3;5;5;5
5;5;5;5;5;5;5;4;5;4;4;5;4;5;4;5;5;5;4;5;5;5;5;5;4;5;5;5;5;5
5;5;3;3;3;3;5;5;5;5;3;3;5;5;5;5;4;5;5;5;5;3;5;5;5;5;4;5;3;5
5;5;5;5;5;5;5;3;4;5;5;5;5;5;5;4;5;5;5;4;4;5;4;5;4;5;5;5;5;5
5;5;4;5;5;4;5;5;5;4;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;4;3
3;5;4;4;4;5;4;4;5;3;4;4;5;4;3;5;4;5;5;5;5;5;5;4;5;5;5;5;5;5
5;5;4;5;5;5;5;5;5;5;5;5;4;5;5;4;5;4;5;5;5;5;5;5;5;5;5;5;5;5
3;3;3;3;3;5;5;4;3;5;4;3;4;4;4;5;3;5;5;3;4;5;3;5;3;3;3;5;5;5
5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;4;4;5;5;5;5;5;5;5;5;5;5;3;5;5
