KMK1;KMK2;KMK3;KMK4;KMK5;KMK6;KMK7;PK1;PK2;PK3;GK1;GK2;GK3;GK4;GK5;GK6;GK7;GK8;GK9;GK10;KK1;KK2;KK3;KK4;KK5;KK6;KK7;KK8;KK9;KK10;KK11;KK12;KK13;KK14;KK15;KK16
4;4;4;4;4;4;4;5;2;5;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;4;5;4;5;5;5;5;5;4;5
5;5;5;5;4;5;5;4;3;4;4;4;4;4;4;4;3;4;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
5;3;5;5;5;3;3;5;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;3;3;4;5;4;4;4;4;4;4;5;4;4;3;5;4;3;4;5;5;4;5;5;4;3;4;5;4;5
4;5;4;5;4;5;3;5;2;4;3;4;4;5;5;4;5;5;4;5;4;5;5;3;5;5;4;3;4;4;3;5;5;4;4;5
4;4;5;5;3;3;5;5;3;5;4;4;4;4;4;4;4;4;4;4;4;5;4;5;5;5;5;4;5;5;4;3;5;4;5;5
5;5;5;5;5;5;4;4;2;4;4;4;4;4;4;4;4;4;4;4;3;3;4;5;4;3;4;5;5;3;5;5;5;4;5;4
5;5;5;5;5;5;5;4;1;3;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;3;5;3;5;5;2;4;3;4;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;4;5;5;5;5;3;3;3;5;5;5;5;5;4;5;5;5;5;4;5;4;5;5;5;4;5;5;5;5;5;5;5;5;5
5;5;5;5;5;4;5;4;2;5;5;5;5;3;5;5;4;4;4;3;3;4;4;4;5;5;3;5;4;3;5;5;5;3;3;3
5;5;5;5;4;5;5;5;2;5;5;3;4;5;4;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5
5;5;5;4;5;5;4;5;1;4;5;5;5;5;5;5;5;5;5;5;3;5;4;4;4;3;5;5;5;5;5;5;4;5;3;4
4;3;3;5;5;5;3;5;2;5;4;5;5;3;4;5;5;5;5;5;5;5;5;5;5;5;4;5;3;5;5;5;5;4;4;5
5;4;5;4;3;4;5;4;1;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;4;5;5;3;5;4;5;3;5;5;4;4
5;5;5;5;5;5;5;3;2;3;5;5;5;3;5;5;4;4;4;5;4;5;4;3;5;5;3;4;5;5;4;5;4;5;3;5
4;4;4;4;4;4;4;4;3;5;3;4;5;5;4;4;5;5;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
5;5;5;3;4;5;4;4;2;4;5;5;5;5;5;5;5;5;5;5;4;4;4;5;5;5;4;5;5;3;5;5;5;5;5;3
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;3;5;3;5;5;5
5;5;5;5;3;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5;4;3;4;5;5;4;5;4;3;5;5;5;5;3;4;3
5;5;5;5;5;5;5;4;2;3;5;5;4;4;4;5;5;5;5;5;4;5;5;4;4;5;3;5;5;4;4;5;5;5;3;5
3;5;3;4;3;3;5;5;2;3;5;4;5;5;5;4;5;3;4;3;5;5;5;3;5;5;5;4;5;5;5;4;3;5;5;5
5;3;5;5;5;5;5;5;5;5;4;4;5;5;3;4;4;5;4;5;4;5;5;5;4;5;5;5;5;5;4;5;5;5;5;5
5;5;5;5;3;3;3;3;2;5;5;5;4;5;4;5;3;3;5;5;5;5;4;5;5;5;5;3;5;5;5;5;4;5;3;5
5;5;5;5;5;5;5;5;2;5;5;3;5;4;5;5;5;5;5;5;5;4;5;5;5;4;4;5;4;5;4;5;5;5;5;5
5;5;5;3;4;5;5;4;1;5;5;5;4;5;5;4;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;4;3
3;5;5;5;4;4;4;5;2;4;3;4;5;5;5;3;4;4;5;4;3;5;4;5;5;5;5;5;5;4;5;5;5;5;5;5
5;5;5;5;4;5;5;5;3;5;5;5;3;5;3;5;5;5;4;5;5;4;5;4;5;5;5;5;5;5;5;5;5;5;5;5
3;3;3;3;3;3;3;5;5;5;5;4;4;3;5;5;4;3;4;4;4;5;3;5;5;3;4;5;3;5;3;3;3;5;5;5
5;5;5;5;5;5;5;4;2;5;5;5;5;5;5;5;5;5;5;5;5;4;4;5;5;5;5;5;5;5;5;5;5;3;5;5
